Geneid,C_1,C_2,C_3,WT_1,WT_2,WT_3,G_1,G_2,G_3
MYCTH_2305950,479,970,906,930,1364,1135,1131,1158,1321
MYCTH_52807,4,0,4,0,0,6,0,0,2
MYCTH_2305952,239,426,465,1021,1185,1011,836,758,754
MYCTH_2127585,0,0,0,0,0,0,0,0,0
MYCTH_2305956,648,867,899,1831,2534,1965,2343,2338,2619
MYCTH_2110837,509,872,949,1365,1762,1431,1480,1248,1419
MYCTH_2305962,56,91,60,1134,761,641,940,1062,887
MYCTH_2065690,268,518,484,456,487,422,630,552,765
MYCTH_2110839,46,93,46,60,87,61,50,39,49
MYCTH_2305964,2,3,0,7,12,21,16,15,15
MYCTH_2064803,6,14,11,0,2,3,10,0,9
MYCTH_2305966,115,184,251,79,121,102,101,80,127
MYCTH_2305972,1682,2593,2064,7935,10980,8569,10061,9446,10380
MYCTH_102943,372,663,774,893,1343,997,1212,1361,1387
MYCTH_t103,3,0,3,3,0,0,0,0,1
MYCTH_2305976,536,984,791,1003,1056,961,2002,2438,2317
MYCTH_2080826,760,1229,1192,966,1246,1016,2282,2423,2645
MYCTH_t104,0,1,0,4,0,0,2,0,0
MYCTH_t130,0,0,0,0,4,0,0,0,0
MYCTH_2305977,78,135,107,125,151,178,119,144,135
MYCTH_2063115,0,0,0,0,1,0,0,0,0
MYCTH_2305978,547,970,892,5745,8041,6517,10540,10170,10971
MYCTH_95335,32,64,57,163,256,181,497,539,536
MYCTH_2305979,949,1552,1405,2360,3168,2459,5727,5891,6408
MYCTH_t129,0,0,0,0,0,0,0,0,0
MYCTH_2305981,32,72,47,94,120,102,115,126,124
MYCTH_2063204,6,17,14,4,18,6,7,5,0
MYCTH_2037656,230,410,386,747,1014,806,871,929,966
MYCTH_2305985,218,338,341,278,384,278,322,296,323
MYCTH_2063555,40,45,49,67,76,97,32,33,34
MYCTH_2305988,161,233,187,410,490,412,352,414,483
MYCTH_2305992,93,217,191,395,536,428,176,206,277
MYCTH_2305993,33,80,69,186,271,223,162,184,182
MYCTH_53804,29,55,70,16,31,24,23,41,24
MYCTH_t105,0,0,0,0,0,2,0,2,0
MYCTH_2315449,3589,5724,5348,14439,19149,14960,7548,7174,7842
MYCTH_t106,0,0,0,0,0,0,0,0,0
MYCTH_2306000,786,1128,1005,2089,2606,2225,1727,1630,1989
MYCTH_51515,650,1014,1039,1278,1182,987,500,720,523
MYCTH_2306004,231,407,362,751,1054,884,958,887,789
MYCTH_2306006,4,4,10,2,6,1,1,8,4
MYCTH_2306007,710,1494,1078,2119,2342,2029,2304,2302,2448
MYCTH_2064349,6476,11258,11051,16344,20705,17605,23120,24870,26555
MYCTH_2315454,371,663,661,380,386,355,702,755,665
MYCTH_112014,1399,2266,2308,18494,22282,17321,10478,10712,11472
