Geneid,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,T1_1,T1_2,T1_3,T2_1,T2_2,T2_3
MYCTH_2299543,97.68,83.88,81.45,224.41,223.37,203.01,69.01,64.01,72.62,104.28,111.55,98.93
MYCTH_38472,23.81,18.97,21.5,37.46,38.43,40.2,14.55,16.99,13.04,25.73,25.96,20.02
MYCTH_2299548,1.29,1.37,1.31,2.5,1.56,1.93,1.75,1.55,1.65,1.23,1.32,2.03
MYCTH_2299551,34.56,32.32,35.15,45.97,48.26,45.69,21.66,19.82,28.31,30.76,28.68,25.74
MYCTH_2299552,9.29,10.57,9.12,8.24,9.46,12.91,5.66,5.29,5.76,7.08,6.09,6.36
MYCTH_2299553,18.21,18.17,19.35,33.66,32.15,34.43,13.26,8.59,14.54,16.4,16.12,15.75
MYCTH_2299554,9.27,10.13,10.44,18.28,18.63,18.56,6.49,4.76,7.91,9.2,9.54,11.15
MYCTH_2299555,29.88,28.85,25.19,43.41,39.64,43.69,18.7,17.41,18.9,21.68,21.99,22.63
MYCTH_2299559,7.19,7.45,6.68,12.46,13.28,12.34,4.04,3.08,3.7,6.3,6.81,6.58
MYCTH_2299561,4.67,4.66,5.05,7.34,7.51,8.12,3.98,3.2,3.31,4.9,4.81,4.09
MYCTH_2299563,13.15,14.95,14.07,20.9,22.95,22.52,8.94,8.43,8.06,12.82,12.78,12.72
MYCTH_2299564,5.9,5.12,7.03,11.7,11.25,11.18,3.86,4.15,5.01,6.35,5.48,5.22
MYCTH_2137812,5.59,7.92,5.89,7.79,9.07,8.59,5.15,5.72,3.33,4.52,5.35,4.3
MYCTH_t25,2.1,4.71,3.63,4.19,2.39,3.58,2.24,1.96,0.94,2.52,1.62,2.42
MYCTH_2299569,26.02,27.24,25.91,25.95,26.4,26.23,26.66,23.01,26.96,19.37,20.48,21.08
MYCTH_97448,0.58,1.21,1.23,1.25,0.92,1,0.59,0.53,0.71,0.36,0.84,0.53
MYCTH_t24,0,0,0,0,0,0,1.07,0,0,0,0,0
MYCTH_2124533,3.93,5.13,3.65,4.88,5.88,3.92,3.44,3.65,4.49,4.1,5.59,6.78
MYCTH_2108207,3.88,5.62,3.24,5.38,4.42,4.15,4.12,2.53,4.32,5.54,4.56,5.44
MYCTH_2299571,151,161.33,148.19,181.15,167.45,178.23,136.64,157.71,122.32,130.96,125.13,133.68
MYCTH_t19,0,0,0,0,0.96,0,0,0.32,0.62,0,0,0
MYCTH_2299573,37.65,36.86,39.44,55.96,58.12,57.87,33.86,36.06,35.22,34.82,36.85,34.18
MYCTH_2086920,96.97,96.39,109.86,165.01,149.2,159.13,122.43,120.56,134.51,116.41,120.65,127.82
MYCTH_t23,0.67,0,0,1.33,0.79,3.2,0,0,0,2.4,0,2.08
MYCTH_2124537,0.19,0,0.09,0.26,0.1,0.43,0,0.03,0,0.17,0.28,0.13
MYCTH_2299575,56.7,62.29,53.41,63.49,72.06,77.56,39.72,33.32,41.73,43.79,44.54,45.28
MYCTH_2299578,12.69,12.78,13.05,22.71,26.47,27.03,7.14,6.59,8.07,10.34,11.88,10.13
MYCTH_2116312,41.32,38.99,41.76,53.56,52.78,55.76,28.86,26.17,32.02,34.64,32.23,37.17
MYCTH_2299582,88.5,93.1,79.84,64.39,67.22,73.76,61.81,63.33,61.83,50.17,48.47,50.91
MYCTH_2299583,11.78,11.89,12,31.92,30.93,30.04,6.09,4.02,6.45,10.04,10.84,10.1
MYCTH_2299585,76.49,85.83,82.91,117.74,112.3,115.39,59.15,54.62,70.57,80.46,81.53,82.14
MYCTH_2074326,23.83,23.03,23.82,33.93,31.49,30.4,16.47,15.82,17.96,20.34,23.04,21.61
MYCTH_2299590,20.88,20.5,23.66,49.96,49.87,47.51,28.63,29.58,28.14,46.41,46.72,39.28
MYCTH_2116318,3.02,3.17,2.74,6.53,6.05,7.32,2.06,1.71,2.67,2.98,3.68,3.07
MYCTH_2299597,91.76,85.48,84.43,103.16,112,114.5,57.47,55.09,67.38,68.17,68.01,65.82
MYCTH_2314307,5.54,7.47,5.99,14.45,9.25,10.45,6.58,5.3,7.18,7.17,8.36,8.76
MYCTH_2299604,1.79,1.57,2.2,6.32,3.91,4.28,2.51,1.39,1.57,2.64,3.99,4.27
